id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
6528,00CA,small_airport,Goldstone (GTS) Airport,35.35474,-116.885329,3038.0,,US,US-CA,Barstow,no,00CA,,00CA,,https://en.wikipedia.org/wiki/Goldstone_Gts_Airport,
6551,00N,small_airport,Bucks Airport,39.472998,-75.184346,105.0,,US,US-NJ,Bridgeton,no,K00N,,00N,,https://en.wikipedia.org/wiki/Bucks_Airport,
6560,00S,small_airport,McKenzie Bridge State Airport,44.181466,-122.086,1620.0,,US,US-OR,Blue River,no,K00S,,00S,,https://en.wikipedia.org/wiki/McKenzie_Bridge_State_Airport,
6581,01C,closed,Grant Airport,43.341701507568,-85.775001525879,815.0,,US,US-MI,Grant,no,,,,,https://en.wikipedia.org/wiki/Grant_Airport,"01C, 01C, 01C"
6583,01CL,small_airport,Swansboro Country Airport,38.7999,-120.734001,2594.0,,US,US-CA,Placerville,no,01CL,,01CL,,https://en.wikipedia.org/wiki/Swansboro_Country_Airport,
6597,01J,small_airport,Hilliard Airpark,30.685568,-81.906346,59.0,,US,US-FL,Hilliard,no,K01J,,01J,,https://en.wikipedia.org/wiki/Hilliard_Airpark,
6598,01K,small_airport,Caldwell Municipal Airport,37.036132,-97.58533,1157.0,,US,US-KS,Caldwell,no,K01K,,01K,,https://en.wikipedia.org/wiki/Caldwell_Municipal_Airport_(Kansas),
6646,02FA,small_airport,Osborn Airfield,28.526699,-81.874802,121.0,,US,US-FL,Groveland,no,02FA,,02FA,,https://en.wikipedia.org/wiki/Osborn_Airfield,
4650,03N,small_airport,Utirik Airport,11.222219,169.851429,4.0,OC,MH,MH-UTI,Utirik Island,yes,03N,UTK,03N,,https://en.wikipedia.org/wiki/Utirik_Airport,
6740,03S,small_airport,Sandy River Airport,45.401629,-122.228771,704.0,,US,US-OR,Sandy,no,K03S,,03S,,https://en.wikipedia.org/wiki/Sandy_River_Airport,
6756,04CA,small_airport,Gray Butte Field,34.566631,-117.670666,3020.0,,US,US-CA,Palmdale,no,04CA,,04CA,,https://en.wikipedia.org/wiki/Grey_Butte_Field_Airport,"KGXA, GXA"
6762,04I,small_airport,Columbus Southwest Airport,39.91151,-83.188577,920.0,,US,US-OH,Columbus,no,K04I,,04I,,https://en.wikipedia.org/wiki/Columbus_Southwest_Airport,
6847,05S,small_airport,Vernonia Airfield,45.85150146484375,-123.24199676513672,647.0,,US,US-OR,Vernonia,no,05S,,05S,,https://en.wikipedia.org/wiki/Vernonia_Airfield,
6860,05Y,small_airport,Henning Municipal Airport,46.303799,-95.439499,1455.0,,US,US-MN,Henning,no,05Y,,05Y,,https://en.wikipedia.org/wiki/Henning_Municipal_Airport,
6864,06B,seaplane_base,Lucky Landing Marina and Seaplane Base,44.907001,-68.805,115.0,,US,US-ME,Glenburn,no,,,06B,,https://en.wikipedia.org/wiki/Lucky_Landing_Marina_and_Seaplane_Base,
6868,06FA,small_airport,William P Gwinn Airport,26.90839958190918,-80.32890319824219,28.0,,US,US-FL,Jupiter,no,06FA,,06FA,,https://en.wikipedia.org/wiki/North_Palm_Beach_County_General_Aviation_Airport,
6889,06N,small_airport,Randall Airport,41.431999,-74.391602,523.0,,US,US-NY,Middletown,no,K06N,,06N,,https://en.wikipedia.org/wiki/Randall_Airport,
6924,07FA,small_airport,Ocean Reef Club Airport,25.325399398804,-80.274803161621,8.0,,US,US-FL,Key Largo,no,07FA,OCA,07FA,https://www.oceanreef.com/community/private-airport-1345.html,https://en.wikipedia.org/wiki/Ocean_Reef_Club_Airport,
6943,07MT,small_airport,Glasgow Industrial Airport,48.421101,-106.528,2762.0,,US,US-MT,Glasgow,no,07MT,,07MT,,https://en.wikipedia.org/wiki/Glasgow_Industrial_Airport,Glasgow Air Force Base
6994,08N,small_airport,Keller Brothers Airport,40.291801,-76.328796,550.0,,US,US-PA,Lebanon,no,08N,,08N,,https://en.wikipedia.org/wiki/Keller_Brothers_Airport,
7006,08R,small_airport,Richmond Airport,41.489498,-71.620598,130.0,,US,US-RI,West Kingston,no,,,08R,,https://en.wikipedia.org/wiki/Richmond_Airport_(Rhode_Island),RI04
7048,09OR,heliport,Mid-Columbia Medical Center Heliport,45.587235,-121.163827,487.0,,US,US-OR,The Dalles,no,09OR,,09OR,,https://en.wikipedia.org/wiki/Mid-Columbia_Medical_Center_Heliport,
14580,09TA,small_airport,Lazy G Bar Ranch Airport,33.282101,-97.497002,923.0,,US,US-TX,Decatur,no,,,09T,,https://en.wikipedia.org/wiki/Lazy_G_Bar_Ranch_Airport,"Formerly 82T, 09TA"
7100,0B7,small_airport,Warren-Sugarbush Airport,44.117724,-72.826867,1470.0,,US,US-VT,Warren,no,K0B7,,0B7,,https://en.wikipedia.org/wiki/Warren-Sugarbush_Airport,
7102,0C2,small_airport,Hinckley Airport,41.770901,-88.7034,760.0,,US,US-IL,Hinckley,no,0C2,,0C2,,https://en.wikipedia.org/wiki/Hinckley_Airport,
7105,0C8,small_airport,Cushing Field Ltd Airport,41.519501,-88.605598,640.0,,US,US-IL,Newark,no,0C8,,0C8,,https://en.wikipedia.org/wiki/Cushing_Field,
7158,0D7,small_airport,Ada Airport,40.7906,-83.829102,949.0,,US,US-OH,Ada,no,0D7,,0D7,,https://en.wikipedia.org/wiki/Ada_Airport,
7180,0G0,small_airport,North Buffalo Suburban Airport,43.103199,-78.7033,588.0,,US,US-NY,Lockport,no,K0G0,,0G0,,https://en.wikipedia.org/wiki/North_Buffalo_Suburban_Airport,
7181,0G5,seaplane_base,Grand Marais/Cook County Seaplane Base,47.8263,-90.3835,1635.0,,US,US-MN,Grand Marais,no,0G5,,0G5,http://www.boreal.org/airport/,https://en.wikipedia.org/wiki/Grand_Marais/Cook_County_Seaplane_Base,Devil Track Resort
7200,0I2,small_airport,Brazil Clay County Airport,39.4767,-87.099701,645.0,,US,US-IN,Brazil,no,0I2,,0I2,,https://en.wikipedia.org/wiki/Brazil_Clay_County_Airport,
7249,0J0,small_airport,Abbeville Municipal Airport,31.600093,-85.238353,468.0,,US,US-AL,Abbeville,no,,,0J0,,https://en.wikipedia.org/wiki/Abbeville_Municipal_Airport,
7270,0L4,small_airport,Lida Junction Airport,37.485801696777344,-117.19100189208984,4684.0,,US,US-NV,Goldfield,no,0L4,,0L4,,https://en.wikipedia.org/wiki/Lida_Junction_Airport,
7271,0L5,small_airport,Goldfield Airport,37.722114,-117.236363,5680.0,,US,US-NV,Goldfield,no,1A8,,1A8,,https://en.wikipedia.org/wiki/Goldfield_Airport,"0L5, NV50"
7380,0N4,small_airport,Chandelle Airport,39.202301,-75.485497,22.0,,US,US-DE,Dover,no,,,0N4,,https://en.wikipedia.org/wiki/Chandelle_Estates_Airport,Chandelle Estates
7382,0N6,small_airport,Albanna Aviation Airport,39.012602,-75.533501,50.0,,US,US-DE,Felton,no,,,28DE,,https://web.archive.org/web/20170306030610/https://en.wikipedia.org/wiki/Henderson_Aviation_Airport,Henderson Aviation
7426,0NM0,small_airport,Columbus Airport,31.823898,-107.629924,4024.0,,US,US-NM,Columbus,no,0NM0,CUS,0NM0,,https://en.wikipedia.org/wiki/Columbus_Municipal_Airport_(New_Mexico),
7437,0O4,small_airport,Corning Municipal Airport,39.94359970092773,-122.1709976196289,292.0,,US,US-CA,Corning,no,0O4,,0O4,,https://en.wikipedia.org/wiki/Corning_Municipal_Airport_(California),
7463,0OR0,heliport,Providence Hospital Heliport,42.3386993408,-122.861999512,1350.0,,US,US-OR,Medford,no,0OR0,,0OR0,,https://en.wikipedia.org/wiki/Providence_Hospital_Heliport,
7506,0Q3,small_airport,Sonoma Valley Airport,38.223499,-122.449997,10.0,,US,US-CA,Schellville/Sonoma,no,0Q3,,0Q3,,https://en.wikipedia.org/wiki/Sonoma_Valley_Airport,
7508,0Q6,closed,Shingletown Airport,40.521955,-121.81705,3880.0,,US,US-CA,Shingletown,no,,,,,https://en.wikipedia.org/wiki/Shingletown_Airport,0Q6
7509,0Q9,small_airport,Sonoma Skypark Airport,38.257702,-122.433998,20.0,,US,US-CA,Sonoma,no,0Q9,,0Q9,,https://en.wikipedia.org/wiki/Sonoma_Skypark,
7510,0R2,small_airport,Lincoln Municipal Airport,38.4039,-93.333,940.0,,US,US-MO,Lincoln,no,0R2,,0R2,,https://en.wikipedia.org/wiki/Lincoln_Municipal_Airport_(Missouri),
7512,0R9,closed,Plainville Airpark,39.1945,-99.303398,2182.0,,US,US-KS,Plainville,no,,,,,https://en.wikipedia.org/wiki/Plainville_Airpark,"0R9, KS04"
7648,0Z3,seaplane_base,Shannons Pond Seaplane Base,59.049905,-158.581682,80.0,,US,US-AK,Dillingham,no,AA15,,AA15,,https://en.wikipedia.org/wiki/Shannons_Pond_Seaplane_Base,0Z3
7656,10D,small_airport,Winsted Municipal Airport,44.950001,-94.066902,1030.0,,US,US-MN,Winsted,no,10D,,10D,,https://en.wikipedia.org/wiki/Winsted_Municipal_Airport,
7721,11M,small_airport,Fulton-Itawamba County Airport,34.352001,-88.377296,450.0,,US,US-MS,Fulton,no,11M,,11M,,https://en.wikipedia.org/wiki/Fulton-Itawamba_County_Airport,
7727,11N,small_airport,Candlelight Farms Airport,41.566799,-73.466202,675.0,,US,US-CT,New Milford,no,11N,,11N,,https://en.wikipedia.org/wiki/Candlelight_Farms_Airport,
7738,11S,small_airport,Sekiu Airport,48.266102,-124.314003,355.0,,US,US-WA,Sekiu,no,11S,,11S,,https://en.wikipedia.org/wiki/Sekiu_Airport,
7781,12NC,small_airport,Atlantic Field Marine Corps Outlying Field,34.892099,-76.349029,20.0,,US,US-NC,Atlantic,no,12NC,,12NC,,https://en.wikipedia.org/wiki/Marine_Corps_Outlying_Field_Atlantic,
